sn_id,sn_content,sent,sent_CAT,sent_NEU,sent_NEG,sent_POS
D_1,"Nosotros se alista el equipo, echamos unos trasmallitos para buscar la carnada, después hacemos el otro trabajo de cortar carnada, echar el equipo, darle su tiempo y después revisar el equipo para ver la captura.","AnalyzerOutput(output=NEU, probas={NEU: 0.988, POS: 0.011, NEG: 0.001})",NEU,0.9883132576942444,0.0009490072843618691,0.010737752541899681
D_2,"Unos de mis trabajadores  de frio, mucho frio. Porque era la invierno, tu sabes que hay mucha lluvia, y todo eso. Pues gracias a dios nosotros sentimos feliz, con el medio ambiente con la naturaleza que nos apoya sobre la pesca también","AnalyzerOutput(output=NEU, probas={NEU: 0.733, POS: 0.233, NEG: 0.034})",NEU,0.7326177954673767,0.034004826098680496,0.2333773970603943
D_3,"Por la noche, se la da poco tiempo al equipo. Tenemos un setenta port ciento que la pesca es super mejor que la del día. Qual es el porque? El por que de noche nos echamos y le damos una hora. No hay muchos peses pequeños que nosotros llamamos plaga que comen la carnada.","AnalyzerOutput(output=NEU, probas={NEU: 0.866, NEG: 0.127, POS: 0.007})",NEU,0.866009533405304,0.12690746784210205,0.0070830825716257095
D_4,"Estamos también usando mucho esas LED que dieron, unas sumergibles, son buenísimas para la captura del calamar, la sardina, la trae bastante.","AnalyzerOutput(output=POS, probas={POS: 0.992, NEU: 0.008, NEG: 0.001})",POS,0.007596723269671202,0.0006564316572621465,0.9917467832565308
D_5,"Con la Linea, yo mucho tiempo trabajo mas con la linea que co n trasmallo. Tal vez usamos el tramadlo para este temporada de agua fría. Hay buena captura siempre la linea. Otro cosa, que la linea hace poco daño a lo que es la tortuga marina y el trasmano si, se enreda bastante. ","AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.064, NEG: 0.004})",NEU,0.9321341514587402,0.0037944589275866747,0.06407137960195541
D_6,"Nosotros hemos tratado mucho, bueno, mi persona y mis trabajadores, que aquí todos salimos reflejado. Nosotros tratamos de proteger la fauna marina. Por qué yo estuve trabajando con FFI, Fauna y Flora internacional, yo estuve trabajando como observador y gracias a dios y a ellos hemos aprendido mucho sobre proteger y cuidad, la limpieza.  ","AnalyzerOutput(output=NEU, probas={NEU: 0.842, POS: 0.157, NEG: 0.002})",NEU,0.8416475653648376,0.0017861980013549328,0.15656623244285583
D_7,"Si nosotros dañamos el medioambiente, con el  tiempo, que vamos hacer para sobrevivir? A nuestros hijos que les podemos enseñar si ya no va haber nada de peses? Aqui hay mucho daño, muchos roban las redes, y ahora esta ese asunto de la bomba y a mí no me gusta eso. Prefiero emigrar a buscar una pesca legalmente y no para hacer daño. ","AnalyzerOutput(output=NEG, probas={NEG: 0.988, NEU: 0.011, POS: 0.001})",NEG,0.011041508987545967,0.9881898164749146,0.0007686830940656364
D_8,"Hay hemos hablado con la fuerza naval, con la alcaldía con el ministerio. Lo único que ellos saber decir para que nosotros llegamos a tener un apoyo así, tenemos que tener una organismo, una cooperativa y en eso nadie nos apoya. Todo el tiempo mi papa he luchado por eso, ha costado mucho, y nosotros, legalmente no tenemos iniciativa para eso. ","AnalyzerOutput(output=NEG, probas={NEG: 0.944, NEU: 0.055, POS: 0.001})",NEG,0.05471067130565643,0.9444418549537659,0.0008474600617773831
D_9,"Mi papa me enseño muchas cosas y yo voy poco a poco enseñando a ellos, ahora ellos andan ensenadas los otros muchachos del conocimiento que vamos agarrando y así seguimos en la lucha. ","AnalyzerOutput(output=POS, probas={POS: 0.528, NEU: 0.468, NEG: 0.004})",POS,0.4684174060821533,0.003928403835743666,0.527654230594635
D_10,"Ese asunto con la medusa viene sobre los cambios climáticos del agua. Cuando el agua esta muy fría, y ella llega a calentar, la medusa como que se alborota o algo asi.","AnalyzerOutput(output=NEU, probas={NEU: 0.798, NEG: 0.199, POS: 0.002})",NEU,0.7982006669044495,0.1994297355413437,0.002369621768593788
